type,days,price,start_time,end_time
member events,180,100,9:45,14:45
train package,360,190,15:59,20:59
family discount,30,25,8:07,13:07
welness pro,30,25,10:38,15:38
trial,180,100,9:59,14:59
bootcamp ,180,100,7:51,12:51
weekend,180,100,11:09,16:09
couples,90,55,9:03,14:03
platinum,360,190,9:36,14:36
discounted ,360,190,12:36,17:36
private studio rental,360,190,7:26,12:26
yoga ,360,190,12:51,17:51
day pass,360,190,8:50,13:50
social ,360,190,9:57,14:57
health club ,360,190,14:39,19:39
student discount,360,190,14:43,19:43
fitness challenges,180,100,11:34,16:34
progress tracking,360,190,15:31,20:31
smoothie ,180,100,13:13,18:13
silver,90,55,7:40,12:40
crossfit ,180,100,13:54,18:54
senior,30,25,13:15,18:15
steam room ,180,100,16:34,21:34
senior discount,30,25,13:22,18:22
sauna ,30,25,9:08,14:08
platinum,90,55,16:15,21:15
basic,30,25,14:08,19:08
senior discount,360,190,9:17,14:17
recovery tools,30,25,11:50,16:50
loyalty points,90,55,8:30,13:30
private studio rental,180,100,11:09,16:09
trial,360,190,12:24,17:24
premium,360,190,12:17,17:17
VIP,180,100,9:59,14:59
senior,180,100,7:11,12:11
exclusive classes,30,25,9:56,14:56
fitness challenges,90,55,7:00,12:00
loyalty points,90,55,15:55,20:55
nutrition coaching,30,25,14:49,19:49
senior,360,190,14:56,19:56
progress tracking,30,25,15:19,20:19
annual,180,100,14:15,19:15
community ,360,190,8:00,13:00
train package,180,100,7:58,12:58
locker rental,360,190,14:42,19:42
couples,360,190,14:09,19:09
merchandise,30,25,9:50,14:50
bootcamp ,90,55,10:35,15:35
basic,90,55,9:52,14:52
social ,360,190,9:40,14:40
recovery tools,90,55,15:55,20:55
corporate,90,55,9:29,14:29
fitness challenges,360,190,11:09,16:09
full of mind,360,190,9:29,14:29
community ,180,100,9:56,14:56
early bird,360,190,8:42,13:42
wellness package,180,100,11:32,16:32
welness pro,90,55,9:22,14:22
platinum,90,55,11:31,16:31
holiday promotion,180,100,11:21,16:21
platinum,360,190,16:45,21:45
weekend,90,55,9:39,14:39
loyalty program,360,190,7:03,12:03
virtual ,30,25,15:49,20:49
pay-as-you-go,90,55,14:21,19:21
 workout plans,180,100,10:42,15:42
free trial pass,90,55,10:28,15:28
free trial pass,90,55,15:47,20:47
new member,30,25,12:45,17:45
group,30,25,11:07,16:07
couples discount,180,100,11:07,16:07
fitness assessment,30,25,16:31,21:31
corporate discount,360,190,16:35,21:35
fitness challenges,30,25,14:50,19:50
corporate discount,360,190,13:33,18:33
monthly,30,25,11:08,16:08
sauna ,90,55,8:59,13:59
premium,180,100,13:40,18:40
towel service,360,190,9:46,14:46
day pass,180,100,14:16,19:16
full of mind,90,55,7:37,12:37
student,30,25,16:12,21:12
goal setting session,90,55,14:25,19:25
recovery package,90,55,7:57,12:57
online community ,180,100,11:19,16:19
corporate discount,90,55,7:27,12:27
corporate,360,190,7:16,12:16
student program,90,55,14:48,19:48
wellness resources,360,190,16:31,21:31
equipment rental,360,190,7:02,12:02
online-only ,30,25,15:36,20:36
smoothie ,30,25,7:37,12:37
yoga ,30,25,14:27,19:27
health club ,360,190,16:23,21:23
weekend,360,190,11:32,16:32
wellness resources,90,55,8:52,13:52
limited ,180,100,14:57,19:57
progress tracking,30,25,7:06,12:06
group training,360,190,16:03,21:03
loyalty points,180,100,12:37,17:37
train package,90,55,15:43,20:43
swim ,30,25,12:05,17:05
bootcamp sessions,360,190,11:08,16:08
limited ,30,25,8:17,13:17
workshop ,180,100,11:32,16:32
recovery package,180,100,15:40,20:40
free trial pass,30,25,11:39,16:39
wellness package,360,190,13:01,18:01
online-only ,180,100,14:58,19:58
silver,360,190,13:06,18:06
group training,90,55,9:22,14:22
fitness assessment,360,190,14:01,19:01
steam room ,360,190,10:06,15:06
wellness package,90,55,12:58,17:58
trial,90,55,14:34,19:34
bootcamp ,360,190,9:15,14:15
community ,180,100,8:17,13:17
fitness assessment,180,100,10:50,15:50
nutrition workshops,90,55,11:12,16:12
couples,30,25,16:04,21:04
fitness package,360,190,8:04,13:04
weekend,180,100,7:28,12:28
smoothie ,90,55,8:42,13:42
community ,90,55,14:06,19:06
senior,30,25,15:20,20:20
childcare services,90,55,8:11,13:11
specialty classes,30,25,8:21,13:21
yoga ,90,55,12:37,17:37
family discount,90,55,14:25,19:25
new member,30,25,8:44,13:44
renewal discount,30,25,13:09,18:09
smoothie ,360,190,15:14,20:14
specialty classes,360,190,9:34,14:34
discounted ,180,100,12:02,17:02
towel service,360,190,9:49,14:49
recovery tools,30,25,11:41,16:41
new member,90,55,9:20,14:20
recovery tools,180,100,15:31,20:31
one-on-one training,90,55,16:45,21:45
online community ,180,100,7:48,12:48
basic,90,55,8:03,13:03
student program,180,100,9:46,14:46
discounted ,180,100,13:07,18:07
couples,30,25,8:21,13:21
unlimited ,30,25,15:27,20:27
birthday discount,180,100,9:42,14:42
nutrition workshops,180,100,11:00,16:00
renewal discount,360,190,15:26,20:26
private studio rental,180,100,12:21,17:21
group training,30,25,7:00,12:00
swim ,180,100,14:52,19:52
community ,90,55,16:39,21:39
workshop ,90,55,14:56,19:56
 workout plans,180,100,8:46,13:46
workshop ,360,190,8:16,13:16
welness pro,90,55,14:48,19:48
basic,360,190,8:34,13:34
virtual training,90,55,8:49,13:49
basic,90,55,7:03,12:03
unlimited ,90,55,10:09,15:09
juice bar ,360,190,10:10,15:10
exclusive classes,30,25,8:19,13:19
senior,30,25,9:35,14:35
spa ,90,55,9:41,14:41
pilates ,30,25,15:30,20:30
group training,30,25,13:03,18:03
group training,360,190,7:23,12:23
community ,90,55,13:32,18:32
new member,90,55,14:48,19:48
community ,30,25,9:26,14:26
wellness resources,90,55,7:25,12:25
birthday discount,360,190,12:05,17:05
trial,360,190,13:35,18:35
corporate discount,30,25,16:48,21:48
